num_gpu,job_id,duration,submit_time,interval,model_name
1,application_1506638472019_7494,2620,11376,0,alexnet
1,application_1506638472019_7495,2563,11376,0,inception3
1,application_1506638472019_7496,2543,11376,0,inception3
1,application_1506638472019_7497,2512,11377,0,vgg16
1,application_1506638472019_7498,2488,11377,0,vgg16
1,application_1506638472019_7499,2590,11377,0,vgg19
1,application_1506638472019_7500,2638,11377,0,alexnet
1,application_1506638472019_7501,90,11377,0,alexnet
1,application_1506638472019_7502,2704,11377,0,resnet101
1,application_1506638472019_7503,2585,11377,0,vgg19
1,application_1506638472019_7504,2625,11377,0,resnet50
1,application_1506638472019_7506,2466,11377,0,alexnet
1,application_1506638472019_7507,2682,11377,0,vgg16
1,application_1506638472019_7505,2545,11377,0,vgg19
1,application_1506638472019_7508,74,11377,0,inception4
1,application_1506638472019_7509,2617,11378,0,inception4
1,application_1506638472019_7510,2576,11378,0,resnet101
1,application_1506638472019_7511,2485,11378,0,resnet50
1,application_1506638472019_7513,2614,11378,0,vgg11
1,application_1506638472019_7512,2559,11378,0,vgg11
1,application_1506638472019_7514,2536,11378,0,vgg16
1,application_1506638472019_7515,2654,11378,0,vgg19
1,application_1506638472019_7516,2546,11379,0,vgg11
1,application_1506638472019_7517,2489,11379,0,resnet101
1,application_1506638472019_7519,2526,11379,0,inception4
1,application_1506638472019_7520,2600,11379,0,vgg11
1,application_1506638472019_7521,2523,11379,0,vgg16
1,application_1506638472019_7522,2457,11379,0,vgg16
1,application_1506638472019_7523,59,11379,0,resnet50
1,application_1506638472019_7524,2493,11379,0,resnet101
1,application_1506638472019_7525,2478,11379,0,vgg16
1,application_1506638472019_7526,2557,11380,0,inception3
1,application_1506638472019_7527,2583,11380,0,inception4
1,application_1506638472019_7528,2515,11380,0,inception3
1,application_1506638472019_7529,5052,11380,0,vgg11
1,application_1506638472019_7530,2673,11380,0,inception4
1,application_1506638472019_7531,2440,11380,0,inception3
1,application_1506638472019_7532,25691,11380,0,alexnet
1,application_1506638472019_7533,25598,11380,0,vgg16
1,application_1506638472019_7534,2606,11380,0,inception3
1,application_1506638472019_7535,2571,11380,0,inception4
1,application_1506638472019_7537,2662,11380,0,alexnet
1,application_1506638472019_7536,2526,11380,0,vgg19
1,application_1506638472019_7538,2554,11380,0,vgg19
1,application_1506638472019_7539,2512,11380,0,inception4
1,application_1506638472019_7540,2550,11381,0,inception4
